Día," Horario",Expo Villas: Salón Coral,Taller #1: Salón Maya,Tallerista1,ImgTaller1,Taller #2: Salón la Isla,Tallerista2,ImgTaller2,Taller #3: Suite 1,Tallerista3,ImgTaller3,Taller #4: Suite 2,Tallerista4,ImgTaller4
Viernes,9:00 - 9:50 hrs,Expo Villas,,,,,,,,,,,,
Viernes,9:45 - 10:00 hrs,Expo Villas,,,,,,,,,,,,
Viernes,10:00 - 10:50 hrs,Expo Villas,,,,,,,,,,,,
Viernes,11:00 - 13:50 hrs,Expo Villas,Top 10 LLM OWASP,Jean Granados,"""data/img/JeanPaul.png""",Ingeniería de Detección Moderna Para Ciberdefensores,David Michelena,"""data/img/DavidBernal.png""",Introducción a la Explotación de Binarios Windows x86,Angel Gangas,"""data/img/AngelGangas.png""",Advanced Web Hacking,Marco Almanguer,"""data/img/MarcoAlmaguer.png"""
Viernes,14:00 - 15:50 hrs,Expo Villas,OSINT,Omar Espino,"""data/img/OmarEspino.png""",Ingeniería de Detección Moderna Para Ciberdefensores,David Michelena,"""data/img/DavidBernal.png""",Introducción a la Explotación de Binarios Windows x86,Angel Gangas,"""data/img/AngelGangas.png""",Advanced Web Hacking,Marco Almanguer,"""data/img/MarcoAlmaguer.png"""
Sábado,10:30 - 11:50 hrs,Expo Villas,,,,,,,,,,,,
Sábado,12:00 - 15:00 hrs,Expo Villas,Top 10 LLM OWASP,Jean Granados,"""data/img/JeanPaul.png""",Ingeniería de Detección Moderna Para Ciberdefensores,David Michelena,"""data/img/DavidBernal.png""",Introducción a la Explotación de Binarios Windows x86,Angel Gangas,"""data/img/AngelGangas.png""",Flipper Zero Hacking 101,Mariano Marino,"""data/img/MarcoAlmaguer.png"""
Sábado,15:00 - 15:50 hrs,Expo Villas,OSINT,Omar Espino,"""data/img/OmarEspino.png""",Ingeniería de Detección Moderna Para Ciberdefensores,David Michelena,"""data/img/DavidBernal.png""",Introducción a la Explotación de Binarios Windows x86,Angel Gangas,"""data/img/AngelGangas.png""",,,
Sábado,16:00 - 16:50 hrs,Expo Villas,OSINT,Omar Espino,"""data/img/OmarEspino.png"""," ",,," ",,,,,
Sábado,17:00 - 18:15 hrs,Expo Villas," ",,,,,,,,,,,
,,,,,,,,,,,,,,
